instrumentID;loctimestamp;daystomaturity;implStrike;underlyingprice;underlyingforwardprice;rndStrike
DE0009652396D1;2010-08-26 00:00:00;22;884.358;2603.66;2601.05;1.23632e-07
DE0009652396D1;2010-08-26 00:00:00;22;897.363;2603.66;2601.05;1.25587e-07
DE0009652396D1;2010-08-26 00:00:00;22;910.368;2603.66;2601.05;1.27602e-07
DE0009652396D1;2010-08-26 00:00:00;22;923.373;2603.66;2601.05;1.29677e-07
DE0009652396D1;2010-08-26 00:00:00;22;936.379;2603.66;2601.05;1.31817e-07
DE0009652396D1;2010-08-26 00:00:00;22;949.384;2603.66;2601.05;1.34024e-07
DE0009652396D1;2010-08-26 00:00:00;22;962.389;2603.66;2601.05;1.36302e-07
DE0009652396D1;2010-08-26 00:00:00;22;975.394;2603.66;2601.05;1.38653e-07
DE0009652396D1;2010-08-26 00:00:00;22;988.4;2603.66;2601.05;1.41081e-07
DE0009652396D1;2010-08-26 00:00:00;22;1001.4;2603.66;2601.05;1.4359e-07
DE0009652396D1;2010-08-26 00:00:00;22;1014.41;2603.66;2601.05;1.46184e-07
DE0009652396D1;2010-08-26 00:00:00;22;1027.42;2603.66;2601.05;1.48868e-07
DE0009652396D1;2010-08-26 00:00:00;22;1040.42;2603.66;2601.05;1.51645e-07
DE0009652396D1;2010-08-26 00:00:00;22;1053.43;2603.66;2601.05;1.54522e-07
DE0009652396D1;2010-08-26 00:00:00;22;1066.43;2603.66;2601.05;1.57502e-07
DE0009652396D1;2010-08-26 00:00:00;22;1079.44;2603.66;2601.05;1.60592e-07
DE0009652396D1;2010-08-26 00:00:00;22;1092.44;2603.66;2601.05;1.63797e-07
DE0009652396D1;2010-08-26 00:00:00;22;1105.45;2603.66;2601.05;1.67125e-07
DE0009652396D1;2010-08-26 00:00:00;22;1118.45;2603.66;2601.05;1.70581e-07
DE0009652396D1;2010-08-26 00:00:00;22;1131.46;2603.66;2601.05;1.74174e-07
DE0009652396D1;2010-08-26 00:00:00;22;1144.46;2603.66;2601.05;1.77912e-07
DE0009652396D1;2010-08-26 00:00:00;22;1157.47;2603.66;2601.05;1.81803e-07
DE0009652396D1;2010-08-26 00:00:00;22;1170.47;2603.66;2601.05;1.85857e-07
DE0009652396D1;2010-08-26 00:00:00;22;1183.48;2603.66;2601.05;1.90083e-07
DE0009652396D1;2010-08-26 00:00:00;22;1196.48;2603.66;2601.05;1.94494e-07
DE0009652396D1;2010-08-26 00:00:00;22;1209.49;2603.66;2601.05;1.991e-07
DE0009652396D1;2010-08-26 00:00:00;22;1222.49;2603.66;2601.05;2.03915e-07
DE0009652396D1;2010-08-26 00:00:00;22;1235.5;2603.66;2601.05;2.08953e-07
DE0009652396D1;2010-08-26 00:00:00;22;1248.5;2603.66;2601.05;2.1423e-07
DE0009652396D1;2010-08-26 00:00:00;22;1261.51;2603.66;2601.05;2.19762e-07
DE0009652396D1;2010-08-26 00:00:00;22;1274.52;2603.66;2601.05;2.25568e-07
DE0009652396D1;2010-08-26 00:00:00;22;1287.52;2603.66;2601.05;2.31669e-07
DE0009652396D1;2010-08-26 00:00:00;22;1300.53;2603.66;2601.05;2.38086e-07
DE0009652396D1;2010-08-26 00:00:00;22;1313.53;2603.66;2601.05;2.44846e-07
DE0009652396D1;2010-08-26 00:00:00;22;1326.54;2603.66;2601.05;2.51974e-07
DE0009652396D1;2010-08-26 00:00:00;22;1339.54;2603.66;2601.05;2.59501e-07
DE0009652396D1;2010-08-26 00:00:00;22;1352.55;2603.66;2601.05;2.67461e-07
DE0009652396D1;2010-08-26 00:00:00;22;1365.55;2603.66;2601.05;2.75892e-07
DE0009652396D1;2010-08-26 00:00:00;22;1378.56;2603.66;2601.05;2.84836e-07
DE0009652396D1;2010-08-26 00:00:00;22;1391.56;2603.66;2601.05;2.94338e-07
DE0009652396D1;2010-08-26 00:00:00;22;1404.57;2603.66;2601.05;3.04453e-07
DE0009652396D1;2010-08-26 00:00:00;22;1417.57;2603.66;2601.05;3.1524e-07
DE0009652396D1;2010-08-26 00:00:00;22;1430.58;2603.66;2601.05;3.26767e-07
DE0009652396D1;2010-08-26 00:00:00;22;1443.58;2603.66;2601.05;3.3911e-07
DE0009652396D1;2010-08-26 00:00:00;22;1456.59;2603.66;2601.05;3.52356e-07
DE0009652396D1;2010-08-26 00:00:00;22;1469.59;2603.66;2601.05;3.66608e-07
